trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
18,True,"{'a': 0, 'e': 0}",25,17,15.125813713752656,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,True,"{'a': 0, 'e': 0}",20,12,15.589675522016302,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,True,"{'a': 0, 'e': 0}",25,8,30.887512465329735,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,True,"{'a': 0, 'e': 0}",30,20,17.776697033337282,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,True,"{'a': 0, 'e': 0}",25,19,11.978485877977228,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
23,True,"{'a': 0, 'e': 0}",20,11,16.368222794078214,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
24,True,"{'a': 0, 'e': 0}",25,14,21.78655619878741,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
25,True,"{'a': 0, 'e': 0}",25,18,11.489332392781362,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
26,True,"{'a': 0, 'e': 0}",35,14,36.93547701935341,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,True,"{'a': 0, 'e': 0}",20,11,17.96330048098535,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
28,True,"{'a': 0, 'e': 0}",20,9,20.701860532719195,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,True,"{'a': 0, 'e': 0}",20,6,21.11436342839166,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
30,True,"{'a': 0, 'e': 0}",20,11,17.883396975142855,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
